Instancia,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
10,0.95,0.1,0.82,0.18,0.8,0.08,0.82,0.11,0.83,0.17,0.94,0.19,0.85,0.09,0.97,0.15,0.95,0.04,0.96,0.18,0.9,0.14,0.85,0.2,0.89,0.18,0.91,0.2,0.95,0.11,0.91,0.13,0.81,0.03,0.99,0.0,0.92,0.1,0.96,0.19,0.93,0.13,0.9,0.05,0.97,0.01,0.83,0.02,0.31,0.35,0.88,0.28,66.67
11,0.85,0.15,0.86,0.13,0.93,0.06,0.92,0.02,0.85,0.05,0.99,0.16,0.89,0.0,0.97,0.1,0.86,0.15,0.92,0.07,0.88,0.01,0.89,0.03,0.95,0.15,0.91,0.06,0.9,0.1,0.97,0.0,0.91,0.07,0.9,0.17,0.89,0.03,0.98,0.02,0.9,0.11,0.84,0.0,0.88,0.07,0.8,0.11,0.09,0.34,0.51,0.09,71.88
12,0.84,0.17,0.83,0.14,0.89,0.2,0.98,0.01,0.96,0.2,0.89,0.05,0.86,0.14,0.81,0.02,0.87,0.11,0.92,0.14,0.98,0.16,0.92,0.04,0.92,0.16,0.88,0.04,0.98,0.12,0.99,0.0,0.85,0.09,0.83,0.04,0.81,0.07,0.89,0.15,1.0,0.0,0.91,0.01,0.92,0.13,0.99,0.07,0.2,0.06,0.42,0.18,67.71
13,0.96,0.18,0.99,0.03,0.89,0.19,0.85,0.02,0.93,0.03,0.9,0.05,0.95,0.12,0.88,0.17,0.98,0.12,0.84,0.02,0.88,0.06,0.86,0.01,0.97,0.08,0.88,0.2,0.96,0.11,0.94,0.12,0.89,0.02,0.89,0.16,0.94,0.07,0.85,0.07,0.94,0.07,0.87,0.0,1.0,0.19,0.87,0.03,0.81,0.18,0.65,0.22,53.12
14,0.88,0.2,0.95,0.18,0.92,0.2,1.0,0.17,0.9,0.17,0.97,0.15,0.99,0.13,0.98,0.1,0.86,0.1,0.81,0.12,0.95,0.12,1.0,0.13,0.8,0.07,1.0,0.18,0.92,0.05,0.87,0.04,0.88,0.12,0.92,0.01,1.0,0.04,0.99,0.13,0.91,0.17,0.97,0.01,0.96,0.05,0.93,0.17,0.89,0.06,0.76,0.29,54.17
15,0.83,0.02,0.88,0.13,0.86,0.16,0.86,0.03,0.94,0.16,0.98,0.08,0.87,0.15,0.96,0.14,1.0,0.02,0.94,0.11,0.97,0.01,0.93,0.17,0.83,0.2,0.87,0.07,0.97,0.19,0.9,0.0,0.93,0.15,0.91,0.02,0.97,0.16,0.81,0.1,0.96,0.17,0.9,0.17,0.86,0.13,0.96,0.09,0.54,0.3,0.2,0.32,57.29
16,0.81,0.1,0.81,0.07,0.96,0.07,0.8,0.12,0.96,0.11,0.99,0.16,0.96,0.05,0.99,0.17,0.95,0.04,0.89,0.07,0.94,0.14,0.9,0.08,0.81,0.03,0.88,0.02,0.92,0.08,1.0,0.1,0.95,0.07,0.85,0.2,0.8,0.09,0.91,0.08,0.86,0.02,0.91,0.12,0.98,0.08,1.0,0.07,0.1,0.27,0.21,0.38,68.75
17,0.81,0.19,0.99,0.0,0.94,0.07,0.8,0.01,0.9,0.0,0.87,0.17,0.93,0.04,0.95,0.03,0.85,0.11,0.96,0.11,0.99,0.03,0.83,0.18,0.96,0.18,0.92,0.11,0.91,0.08,0.84,0.03,0.84,0.02,0.87,0.08,0.83,0.07,0.94,0.0,0.84,0.2,0.92,0.17,0.8,0.08,0.94,0.16,0.05,0.31,0.57,0.09,72.92
18,0.94,0.15,0.85,0.01,0.87,0.2,0.93,0.1,0.8,0.12,0.99,0.09,0.89,0.02,0.94,0.11,0.93,0.05,0.94,0.07,0.82,0.18,0.96,0.2,0.93,0.0,0.94,0.0,0.81,0.05,0.88,0.14,0.86,0.08,0.92,0.08,0.99,0.04,0.92,0.09,0.86,0.08,0.95,0.09,0.88,0.0,0.94,0.07,0.19,0.09,0.18,0.15,65.62
19,0.91,0.14,0.8,0.2,0.85,0.2,0.84,0.02,0.94,0.17,0.84,0.2,0.84,0.19,0.84,0.05,0.87,0.05,0.94,0.12,0.85,0.07,0.95,0.16,0.91,0.05,0.96,0.03,0.85,0.18,0.96,0.09,0.86,0.15,0.85,0.09,0.8,0.17,0.82,0.08,0.82,0.18,0.97,0.03,0.99,0.13,0.8,0.08,0.38,0.08,0.51,0.26,66.67
20,0.93,0.11,0.82,0.14,0.88,0.06,0.81,0.07,1.0,0.13,0.93,0.02,0.8,0.07,0.96,0.2,0.89,0.12,0.92,0.09,0.99,0.04,0.97,0.11,0.8,0.11,0.87,0.09,0.89,0.07,0.95,0.19,0.91,0.01,0.99,0.18,0.87,0.05,0.83,0.16,0.9,0.18,0.87,0.2,0.91,0.11,0.97,0.16,0.91,0.1,0.54,0.13,50.0
21,0.99,0.2,0.85,0.04,0.84,0.08,1.0,0.14,0.94,0.19,0.97,0.15,0.9,0.16,0.99,0.15,0.91,0.11,0.92,0.07,0.95,0.12,0.93,0.09,0.82,0.16,0.87,0.2,0.97,0.01,0.97,0.16,0.85,0.11,0.82,0.16,0.96,0.18,0.9,0.1,0.98,0.08,0.85,0.17,0.8,0.06,0.82,0.06,0.53,0.38,0.79,0.29,62.5
22,0.9,0.07,0.83,0.13,0.93,0.16,0.92,0.1,0.9,0.07,0.89,0.17,0.88,0.14,0.88,0.17,0.98,0.13,0.82,0.2,0.8,0.0,0.94,0.0,0.86,0.1,0.86,0.01,0.82,0.16,0.91,0.06,1.0,0.07,0.97,0.03,0.9,0.16,0.95,0.05,0.95,0.18,0.81,0.14,0.91,0.1,0.95,0.2,0.81,0.04,0.34,0.01,54.17
23,0.83,0.2,0.85,0.11,0.85,0.18,0.98,0.08,0.94,0.12,0.8,0.12,0.88,0.02,0.96,0.09,0.92,0.01,0.84,0.15,0.87,0.01,0.95,0.2,0.99,0.08,0.97,0.2,0.92,0.2,0.92,0.0,0.99,0.05,0.88,0.06,0.84,0.11,0.88,0.02,1.0,0.14,0.97,0.1,0.8,0.02,0.87,0.05,0.58,0.38,0.46,0.17,62.5
24,0.84,0.16,0.94,0.09,0.98,0.0,0.94,0.18,0.92,0.1,0.95,0.09,0.8,0.06,0.84,0.03,0.95,0.17,0.93,0.02,0.9,0.1,0.92,0.13,0.81,0.08,0.91,0.1,0.81,0.09,0.99,0.15,0.89,0.09,1.0,0.05,0.86,0.19,0.81,0.2,0.8,0.15,0.92,0.07,0.88,0.1,0.98,0.19,0.43,0.15,0.57,0.36,61.46
25,0.87,0.2,0.9,0.01,1.0,0.09,0.8,0.19,0.88,0.1,0.9,0.05,0.91,0.14,0.96,0.09,0.86,0.11,0.91,0.16,0.95,0.13,0.88,0.18,0.83,0.13,0.92,0.14,0.93,0.0,0.89,0.04,0.83,0.12,0.9,0.01,0.89,0.16,0.93,0.16,0.87,0.05,0.82,0.17,0.93,0.04,0.81,0.09,0.0,0.3,0.05,0.02,82.29
26,0.97,0.02,0.87,0.11,1.0,0.03,0.87,0.14,0.96,0.03,0.87,0.07,0.92,0.17,0.95,0.04,0.98,0.04,0.98,0.17,0.84,0.02,0.87,0.04,0.92,0.17,0.92,0.04,0.98,0.05,0.88,0.03,0.95,0.04,0.88,0.15,0.93,0.18,0.87,0.08,0.85,0.17,0.91,0.04,0.81,0.16,0.85,0.17,0.71,0.01,0.05,0.27,54.17
27,0.83,0.04,0.85,0.07,0.82,0.14,0.93,0.0,0.86,0.06,0.97,0.15,0.93,0.04,0.87,0.03,1.0,0.19,0.8,0.12,0.82,0.16,0.99,0.1,0.96,0.05,0.8,0.04,0.8,0.14,0.85,0.14,0.88,0.12,0.94,0.08,0.85,0.08,0.84,0.13,0.84,0.11,0.84,0.02,0.8,0.04,0.99,0.02,0.6,0.27,0.26,0.32,56.25
28,0.82,0.03,0.96,0.16,0.93,0.05,0.81,0.19,0.99,0.19,0.8,0.03,0.95,0.18,0.82,0.03,0.98,0.08,0.9,0.17,0.88,0.1,0.93,0.08,0.86,0.02,0.9,0.01,0.83,0.18,0.89,0.15,0.81,0.18,0.95,0.12,0.83,0.09,1.0,0.08,0.83,0.07,0.96,0.0,0.81,0.0,0.9,0.0,0.63,0.14,0.63,0.03,58.33
29,0.87,0.13,0.89,0.14,0.99,0.09,0.82,0.07,0.92,0.17,0.99,0.17,0.99,0.07,0.89,0.14,0.95,0.18,0.92,0.06,0.93,0.14,0.81,0.07,0.99,0.15,0.93,0.04,0.83,0.11,0.8,0.14,0.93,0.15,0.96,0.0,0.84,0.12,0.84,0.15,0.92,0.09,0.9,0.09,0.91,0.14,0.89,0.11,0.22,0.29,0.69,0.02,67.71
30,0.97,0.04,0.82,0.02,0.88,0.09,0.98,0.09,0.89,0.1,0.91,0.0,0.82,0.11,0.83,0.14,0.98,0.09,0.84,0.15,0.81,0.2,0.85,0.14,0.87,0.08,0.91,0.07,0.86,0.04,0.82,0.18,0.86,0.06,0.9,0.16,0.95,0.01,0.92,0.07,0.93,0.16,0.84,0.1,0.91,0.02,0.95,0.18,0.71,0.38,0.53,0.36,54.17
31,0.93,0.07,0.94,0.18,0.94,0.14,0.83,0.2,0.82,0.18,0.84,0.13,0.91,0.05,0.87,0.11,0.97,0.0,0.8,0.01,0.85,0.13,0.97,0.12,0.84,0.07,0.84,0.18,0.82,0.12,0.94,0.14,0.99,0.17,0.94,0.03,0.82,0.19,0.9,0.01,0.82,0.11,0.92,0.04,0.94,0.17,0.86,0.02,0.79,0.15,0.07,0.36,55.21
32,0.83,0.15,0.83,0.12,0.99,0.11,0.92,0.07,0.84,0.05,0.85,0.08,0.94,0.02,0.88,0.05,0.86,0.15,0.94,0.0,0.86,0.18,0.89,0.0,0.88,0.19,0.83,0.11,0.85,0.06,1.0,0.16,0.89,0.13,0.83,0.15,1.0,0.06,0.82,0.03,1.0,0.05,0.81,0.04,0.91,0.09,0.86,0.04,0.91,0.0,0.42,0.09,50.0
33,0.84,0.06,0.98,0.13,0.82,0.09,0.9,0.18,0.86,0.17,0.91,0.16,0.96,0.09,0.93,0.0,0.88,0.19,0.8,0.11,0.87,0.12,0.83,0.03,0.86,0.17,0.83,0.03,0.87,0.2,0.85,0.09,0.86,0.13,0.99,0.05,0.99,0.09,0.87,0.09,0.84,0.09,0.84,0.01,0.89,0.07,0.92,0.05,0.21,0.18,0.16,0.05,64.58
34,0.87,0.12,1.0,0.17,0.98,0.07,0.95,0.03,0.91,0.2,0.91,0.12,0.97,0.12,0.96,0.2,0.88,0.11,0.97,0.0,0.92,0.18,0.87,0.07,0.89,0.18,0.89,0.13,0.94,0.04,0.99,0.1,0.82,0.08,0.81,0.15,0.99,0.19,0.86,0.03,0.81,0.19,0.99,0.17,0.81,0.05,0.88,0.13,0.74,0.28,0.07,0.3,56.25
35,0.99,0.05,0.97,0.07,0.91,0.1,0.81,0.11,0.89,0.12,0.91,0.01,0.91,0.13,0.93,0.04,0.88,0.06,0.94,0.09,0.95,0.08,0.85,0.18,0.98,0.04,0.99,0.09,0.85,0.1,0.86,0.13,0.81,0.12,0.93,0.15,0.86,0.12,0.88,0.09,0.89,0.05,0.9,0.02,0.89,0.19,0.99,0.1,0.21,0.18,0.54,0.11,65.62
36,0.88,0.13,0.89,0.2,0.86,0.0,0.81,0.04,0.95,0.01,0.95,0.1,0.89,0.13,0.8,0.02,0.83,0.04,0.99,0.06,0.81,0.18,0.94,0.2,0.89,0.2,1.0,0.17,0.9,0.01,0.99,0.1,0.87,0.08,0.98,0.07,1.0,0.04,0.86,0.18,0.91,0.12,0.88,0.15,0.9,0.17,0.83,0.02,0.31,0.31,0.54,0.2,68.75
37,0.82,0.15,0.94,0.03,0.94,0.03,0.97,0.13,0.94,0.14,0.99,0.01,0.99,0.0,0.86,0.0,0.97,0.14,0.92,0.2,0.8,0.1,0.81,0.18,0.85,0.16,0.93,0.03,0.85,0.01,0.96,0.1,0.92,0.01,0.86,0.13,0.92,0.02,0.94,0.07,0.9,0.02,0.92,0.16,0.95,0.14,0.89,0.2,0.69,0.16,0.77,0.09,54.17
38,0.89,0.15,0.9,0.09,0.96,0.14,0.95,0.12,0.89,0.08,0.97,0.1,1.0,0.18,0.85,0.17,0.88,0.03,0.89,0.0,0.81,0.04,0.94,0.08,0.99,0.19,0.85,0.05,0.84,0.1,0.92,0.15,0.84,0.02,0.99,0.07,0.91,0.05,0.9,0.16,0.92,0.02,0.97,0.12,1.0,0.08,0.9,0.2,0.29,0.08,0.04,0.34,67.71
39,0.87,0.11,0.89,0.13,0.83,0.07,0.91,0.06,0.86,0.05,0.86,0.0,0.87,0.02,0.85,0.0,0.82,0.15,0.95,0.03,0.93,0.17,0.94,0.0,0.97,0.11,0.95,0.14,0.97,0.19,0.87,0.14,0.85,0.09,0.91,0.16,0.99,0.01,0.91,0.2,0.99,0.08,0.8,0.04,1.0,0.05,0.94,0.1,0.91,0.04,0.98,0.32,50.0
40,0.98,0.13,0.81,0.11,0.82,0.14,0.96,0.16,0.81,0.13,0.93,0.01,1.0,0.07,0.94,0.07,0.9,0.04,0.86,0.19,0.94,0.07,0.85,0.07,0.93,0.04,0.89,0.1,0.83,0.1,0.84,0.0,0.84,0.15,0.94,0.13,1.0,0.0,0.97,0.16,0.83,0.12,0.88,0.08,0.85,0.07,0.81,0.18,0.22,0.0,0.81,0.06,65.62
41,0.97,0.12,0.85,0.19,0.94,0.17,0.81,0.02,0.86,0.19,0.85,0.13,0.88,0.14,0.83,0.01,0.85,0.14,0.81,0.06,0.95,0.0,0.84,0.11,0.93,0.2,0.91,0.04,0.88,0.08,0.8,0.04,0.82,0.17,0.86,0.08,0.86,0.09,0.92,0.07,0.83,0.09,1.0,0.02,0.86,0.12,0.9,0.02,0.13,0.31,0.7,0.18,68.75
42,0.88,0.16,1.0,0.03,0.97,0.07,0.86,0.08,0.93,0.17,0.94,0.18,0.87,0.2,0.97,0.01,0.9,0.17,0.91,0.0,0.96,0.19,0.83,0.17,0.86,0.18,0.95,0.14,0.82,0.08,0.88,0.03,0.92,0.08,1.0,0.2,0.83,0.05,0.93,0.1,0.9,0.2,0.94,0.17,0.98,0.13,0.81,0.14,0.75,0.21,0.5,0.3,54.17
43,0.91,0.0,0.92,0.02,0.98,0.18,0.9,0.2,0.9,0.2,0.99,0.16,0.98,0.08,0.89,0.08,0.88,0.01,0.94,0.09,0.97,0.09,0.98,0.05,0.9,0.18,0.85,0.18,0.83,0.0,0.9,0.09,0.93,0.02,0.94,0.16,0.95,0.03,0.82,0.05,0.88,0.1,0.9,0.0,0.94,0.1,0.82,0.19,0.21,0.23,0.73,0.22,63.54
44,0.93,0.02,0.9,0.12,0.85,0.12,1.0,0.0,0.84,0.12,0.82,0.07,1.0,0.08,0.81,0.05,0.95,0.17,0.92,0.11,0.87,0.04,0.88,0.12,0.87,0.15,0.84,0.15,0.89,0.09,0.86,0.12,0.84,0.17,0.81,0.13,0.96,0.01,0.84,0.1,1.0,0.02,0.81,0.03,0.93,0.12,0.81,0.2,0.31,0.18,0.76,0.34,63.54
45,0.99,0.07,0.89,0.17,1.0,0.02,0.99,0.0,0.92,0.01,0.88,0.11,0.84,0.02,0.92,0.07,0.84,0.12,0.85,0.04,0.84,0.06,0.91,0.13,0.81,0.04,0.95,0.11,0.85,0.02,0.89,0.0,0.94,0.02,0.85,0.03,0.86,0.13,0.89,0.11,0.96,0.1,0.91,0.18,0.9,0.17,0.8,0.1,0.82,0.05,0.51,0.34,52.08
46,0.99,0.11,0.92,0.11,0.8,0.14,0.82,0.02,0.85,0.16,0.87,0.16,0.84,0.17,0.86,0.1,0.95,0.07,0.91,0.19,0.98,0.15,0.94,0.19,0.89,0.19,0.9,0.07,0.99,0.07,0.91,0.19,0.94,0.14,0.84,0.0,0.94,0.14,0.91,0.19,0.96,0.2,0.91,0.1,0.8,0.2,0.87,0.18,0.28,0.07,0.56,0.28,73.96
47,0.85,0.11,0.97,0.18,0.81,0.08,0.94,0.2,0.83,0.17,0.99,0.11,1.0,0.04,0.87,0.14,0.85,0.08,0.89,0.1,0.92,0.0,1.0,0.14,0.97,0.0,0.86,0.2,0.97,0.13,0.82,0.1,0.95,0.2,0.94,0.2,0.8,0.0,0.82,0.1,0.92,0.01,0.86,0.15,0.91,0.15,0.84,0.04,0.59,0.4,0.16,0.32,62.5
48,0.87,0.19,0.8,0.15,1.0,0.18,0.91,0.05,0.88,0.13,0.95,0.05,1.0,0.0,0.82,0.2,0.89,0.17,0.98,0.08,0.98,0.16,0.84,0.09,0.9,0.06,0.98,0.19,0.91,0.1,0.95,0.06,0.84,0.17,0.89,0.1,0.83,0.11,0.9,0.04,0.8,0.0,0.99,0.02,0.86,0.09,0.92,0.09,0.52,0.21,0.24,0.14,62.5
49,0.86,0.07,0.87,0.19,0.99,0.16,0.95,0.02,0.96,0.05,0.86,0.18,0.97,0.01,1.0,0.01,0.92,0.14,0.99,0.18,0.83,0.08,0.97,0.11,0.87,0.14,0.8,0.16,0.86,0.0,0.85,0.05,0.88,0.01,0.91,0.11,0.8,0.08,0.88,0.02,0.92,0.05,0.8,0.01,0.93,0.03,0.97,0.18,0.12,0.39,0.78,0.29,67.71
50,1.0,0.09,0.82,0.08,0.8,0.08,0.89,0.17,0.81,0.16,0.9,0.05,0.93,0.18,0.81,0.09,0.93,0.15,0.88,0.18,0.87,0.16,0.86,0.18,0.86,0.02,0.99,0.1,0.86,0.17,0.8,0.07,0.92,0.15,0.96,0.17,0.92,0.19,0.81,0.17,0.88,0.1,0.87,0.11,0.89,0.04,0.82,0.01,0.21,0.35,0.43,0.19,71.88
51,0.86,0.0,0.88,0.13,1.0,0.07,0.83,0.08,0.82,0.04,0.99,0.03,0.99,0.18,0.91,0.2,0.98,0.05,0.89,0.02,0.84,0.09,0.91,0.08,0.85,0.03,0.9,0.12,0.88,0.07,0.82,0.0,0.86,0.07,0.89,0.0,1.0,0.16,0.88,0.12,0.94,0.01,0.96,0.02,0.89,0.03,0.83,0.03,0.46,0.27,0.08,0.37,57.29
52,0.93,0.15,0.82,0.04,0.95,0.07,0.9,0.13,0.8,0.09,0.96,0.07,0.94,0.09,0.81,0.13,0.97,0.09,0.93,0.13,0.95,0.08,0.99,0.08,0.93,0.02,0.97,0.19,1.0,0.05,0.88,0.02,0.89,0.0,0.83,0.02,0.87,0.04,0.99,0.1,0.84,0.09,0.98,0.16,0.9,0.15,0.96,0.16,0.79,0.23,0.98,0.11,51.04
53,0.83,0.01,0.84,0.0,0.83,0.1,0.9,0.03,0.93,0.01,0.86,0.14,0.95,0.07,0.85,0.11,0.96,0.09,0.84,0.11,0.85,0.19,0.93,0.08,0.94,0.14,0.97,0.11,0.81,0.05,0.81,0.02,0.94,0.17,0.8,0.18,0.86,0.06,0.8,0.06,0.92,0.06,0.9,0.17,0.85,0.03,0.97,0.03,0.7,0.4,0.35,0.25,52.08
54,0.97,0.13,0.91,0.16,0.95,0.08,0.86,0.19,0.93,0.16,0.91,0.17,0.86,0.08,1.0,0.05,0.98,0.03,0.92,0.03,0.88,0.07,0.81,0.07,0.96,0.12,0.81,0.01,0.86,0.15,0.93,0.09,0.89,0.09,0.95,0.15,0.96,0.14,0.84,0.18,0.85,0.2,0.96,0.03,0.99,0.12,0.99,0.1,0.05,0.23,0.85,0.13,73.96
55,0.81,0.04,0.97,0.08,1.0,0.02,0.89,0.12,1.0,0.07,0.9,0.03,1.0,0.09,0.99,0.12,0.96,0.09,0.97,0.0,0.96,0.15,0.94,0.0,0.97,0.15,0.84,0.14,0.93,0.17,0.84,0.13,0.98,0.18,0.89,0.01,0.82,0.01,0.87,0.04,0.87,0.14,0.8,0.06,0.89,0.05,0.92,0.0,0.57,0.27,0.67,0.36,53.12
56,0.82,0.02,0.82,0.16,0.8,0.1,0.83,0.16,1.0,0.14,0.85,0.15,0.84,0.11,0.88,0.13,0.98,0.03,0.88,0.16,0.89,0.01,0.92,0.16,0.98,0.15,0.96,0.11,0.9,0.1,0.94,0.1,0.92,0.09,0.94,0.2,0.86,0.0,0.87,0.01,0.92,0.06,0.89,0.13,0.82,0.11,0.94,0.07,0.55,0.02,0.53,0.34,60.42
57,0.91,0.1,0.86,0.06,0.88,0.17,0.85,0.18,0.83,0.1,0.83,0.02,0.94,0.17,0.87,0.12,0.97,0.01,0.97,0.12,0.92,0.03,0.96,0.14,0.81,0.06,0.81,0.01,0.97,0.18,0.92,0.19,0.82,0.06,0.98,0.19,0.94,0.14,0.87,0.19,0.9,0.06,0.84,0.05,0.92,0.15,0.82,0.03,0.47,0.39,0.92,0.33,64.58
58,0.98,0.18,0.88,0.03,0.89,0.07,0.84,0.17,0.86,0.13,0.82,0.08,0.83,0.05,0.81,0.2,0.82,0.13,0.88,0.19,0.93,0.02,0.81,0.09,0.82,0.12,0.96,0.18,1.0,0.08,0.87,0.16,0.95,0.0,0.92,0.14,0.81,0.13,0.87,0.01,0.89,0.02,0.89,0.03,0.88,0.19,0.98,0.15,0.44,0.13,0.68,0.07,67.71
59,0.94,0.14,0.9,0.02,1.0,0.12,0.95,0.04,0.99,0.18,0.86,0.06,0.97,0.0,0.83,0.15,0.83,0.0,0.88,0.1,0.82,0.16,0.93,0.04,0.84,0.11,0.85,0.05,1.0,0.13,0.88,0.14,0.81,0.05,0.97,0.06,0.98,0.18,0.89,0.0,0.85,0.19,0.91,0.14,0.97,0.2,0.8,0.12,0.46,0.12,0.25,0.35,60.42
60,0.84,0.05,0.9,0.07,1.0,0.2,0.82,0.0,0.92,0.13,0.92,0.12,0.98,0.14,0.93,0.02,0.89,0.11,0.8,0.09,0.87,0.16,0.85,0.16,0.99,0.15,0.86,0.05,0.96,0.2,0.86,0.07,0.98,0.0,0.85,0.17,0.82,0.06,0.83,0.15,1.0,0.09,0.9,0.06,0.8,0.1,0.82,0.04,0.38,0.33,0.98,0.0,61.46
61,0.84,0.06,0.81,0.05,0.97,0.11,0.96,0.03,0.91,0.13,0.84,0.06,0.88,0.18,0.98,0.13,1.0,0.19,0.99,0.17,0.97,0.14,0.97,0.01,0.85,0.06,0.89,0.07,0.82,0.16,0.91,0.1,0.83,0.08,1.0,0.12,0.81,0.16,0.85,0.18,0.95,0.06,1.0,0.0,0.99,0.11,0.88,0.02,0.49,0.25,0.24,0.04,60.42
62,0.88,0.13,0.9,0.14,0.97,0.11,1.0,0.01,0.89,0.2,0.89,0.19,0.97,0.0,0.96,0.17,1.0,0.12,0.86,0.0,0.91,0.04,0.91,0.16,0.85,0.16,0.92,0.04,0.88,0.05,0.8,0.16,0.85,0.11,0.96,0.04,0.9,0.08,0.8,0.02,0.82,0.04,0.99,0.07,0.97,0.11,0.96,0.16,0.09,0.16,0.08,0.38,72.92
63,0.94,0.16,0.85,0.07,0.94,0.16,0.9,0.13,0.97,0.15,0.94,0.14,0.96,0.1,0.8,0.01,0.91,0.12,0.81,0.06,0.86,0.05,0.83,0.02,0.81,0.01,0.98,0.2,0.8,0.06,0.84,0.16,0.99,0.08,0.9,0.0,0.86,0.14,0.89,0.05,0.86,0.15,0.94,0.2,0.89,0.01,0.97,0.17,0.28,0.16,0.77,0.32,67.71
