Patron;H0_1;H0_2;Qmax_1;Qmax_2;PS1;PS2;Altura;Bomba
0.55;48.18376919;54.5768275;28.00610141;48.2683655;0.4295;0.5705;1;1
0.542;48.18376919;54.5768275;28.00610141;48.2683655;0.4085;0.5915;1;1
0.542;48.18376919;54.5768275;28.00610141;48.2683655;0.3987;0.6013;0;0
0.581;48.18376919;54.5768275;28.00610141;48.2683655;0.6693;0.3307;1;1
0.782;48.18376919;54.5768275;28.00610141;48.2683655;0.9091;0.0909;0;0
1.121;48.18376919;54.5768275;28.00610141;48.2683655;0.2661;0.7339;0;0
1.103;48.18376919;54.5768275;28.00610141;48.2683655;0.2774;0.7226;0;0
1.176;48.18376919;54.5768275;28.00610141;48.2683655;0.4689;0.5311;0;0
1.277;48.18376919;54.5768275;28.00610141;48.2683655;0.4769;0.5231;0;0
1.318;48.18376919;54.5768275;28.00610141;48.2683655;0.3533;0.6467;0;0
1.325;48.18376919;54.5768275;28.00610141;48.2683655;0.4526;0.5474;0;0
1.298;48.18376919;54.5768275;28.00610141;48.2683655;0.8431;0.1569;0;0
1.305;48.18376919;54.5768275;28.00610141;48.2683655;0.6306;0.3694;1;1
1.285;48.18376919;54.5768275;28.00610141;48.2683655;0.3148;0.6852;0;0
1.2;48.18376919;54.5768275;28.00610141;48.2683655;0.2774;0.7226;0;0
1.177;48.18376919;54.5768275;28.00610141;48.2683655;0.2188;0.7812;0;0
1.185;48.18376919;54.5768275;28.00610141;48.2683655;0.6757;0.3243;1;1
1.136;48.18376919;54.5768275;28.00610141;48.2683655;0.5644;0.4356;1;1
1.093;48.18376919;54.5768275;28.00610141;48.2683655;0.1618;0.8382;0;0
1.087;48.18376919;54.5768275;28.00610141;48.2683655;0.4286;0.5714;0;0
0.918;48.18376919;54.5768275;28.00610141;48.2683655;0.8889;0.1111;0;0
0.759;48.18376919;54.5768275;28.00610141;48.2683655;0.3382;0.6618;0;0
0.654;55.48570858;27.99226511;34.78417502;17.03922295;0.6039;0.3961;1;1
0.587;55.48570858;27.99226511;34.78417502;17.03922295;0.0659;0.9341;0;0
0.55;55.48570858;27.99226511;34.78417502;17.03922295;0.3624;0.6376;0;0
0.542;55.48570858;27.99226511;34.78417502;17.03922295;0.43;0.57;0;0
0.542;55.48570858;27.99226511;34.78417502;17.03922295;0.6746;0.3254;1;1
0.581;55.48570858;27.99226511;34.78417502;17.03922295;0.5617;0.4383;1;0
0.782;55.48570858;27.99226511;34.78417502;17.03922295;0.3248;0.6752;0;0
1.121;55.48570858;27.99226511;34.78417502;17.03922295;0.5258;0.4742;0;0
1.103;55.48570858;27.99226511;34.78417502;17.03922295;0.2449;0.7551;0;0
1.176;55.48570858;27.99226511;34.78417502;17.03922295;0.4792;0.5208;0;0
1.277;55.48570858;27.99226511;34.78417502;17.03922295;0.461;0.539;0;0
1.318;55.48570858;27.99226511;34.78417502;17.03922295;0.5511;0.4489;0;0
1.325;55.48570858;27.99226511;34.78417502;17.03922295;0.8333;0.1667;0;0
1.298;55.48570858;27.99226511;34.78417502;17.03922295;0.2688;0.7312;0;0
1.305;55.48570858;27.99226511;34.78417502;17.03922295;0.29;0.71;0;0
1.285;55.48570858;27.99226511;34.78417502;17.03922295;0.3931;0.6069;0;0
1.2;55.48570858;27.99226511;34.78417502;17.03922295;0.2857;0.7143;0;0
1.177;55.48570858;27.99226511;34.78417502;17.03922295;0.5274;0.4726;0;0
1.185;55.48570858;27.99226511;34.78417502;17.03922295;0.472;0.528;0;0
1.136;55.48570858;27.99226511;34.78417502;17.03922295;0.7879;0.2121;1;1
1.093;55.48570858;27.99226511;34.78417502;17.03922295;0.5918;0.4082;0;0
1.087;55.48570858;27.99226511;34.78417502;17.03922295;0.5105;0.4895;0;0
0.918;55.48570858;27.99226511;34.78417502;17.03922295;0.9083;0.0917;0;0
0.759;55.48570858;27.99226511;34.78417502;17.03922295;0.449;0.551;0;0
0.654;69.7922371;54.5768275;18.72817991;48.2683655;0.1286;0.8714;0;0
0.587;69.7922371;54.5768275;18.72817991;48.2683655;0.027;0.973;0;0
0.55;69.7922371;54.5768275;18.72817991;48.2683655;1;0;1;0
0.542;69.7922371;54.5768275;18.72817991;48.2683655;0.4056;0.5944;1;0
0.542;69.7922371;54.5768275;18.72817991;48.2683655;0.0299;0.9701;0;0
0.581;69.7922371;54.5768275;18.72817991;48.2683655;0.0833;0.9167;0;0
0.782;69.7922371;54.5768275;18.72817991;48.2683655;0.2449;0.7551;0;0
1.121;69.7922371;54.5768275;18.72817991;48.2683655;0.2963;0.7037;0;0
1.103;69.7922371;54.5768275;18.72817991;48.2683655;0.4965;0.5035;0;0
1.176;69.7922371;54.5768275;18.72817991;48.2683655;0.7589;0.2411;1;0
1.277;69.7922371;54.5768275;18.72817991;48.2683655;0.6087;0.3913;1;1
1.318;69.7922371;54.5768275;18.72817991;48.2683655;0.4578;0.5422;0;0
1.325;69.7922371;54.5768275;18.72817991;48.2683655;0.5882;0.4118;1;1
1.298;69.7922371;54.5768275;18.72817991;48.2683655;0.5549;0.4451;0;0
1.305;69.7922371;54.5768275;18.72817991;48.2683655;0.4318;0.5682;0;0
1.285;69.7922371;54.5768275;18.72817991;48.2683655;0.3609;0.6391;0;0
1.2;69.7922371;54.5768275;18.72817991;48.2683655;0.875;0.125;0;0
1.177;69.7922371;54.5768275;18.72817991;48.2683655;0.4483;0.5517;0;0
1.185;69.7922371;54.5768275;18.72817991;48.2683655;0.275;0.725;0;0
1.136;69.7922371;54.5768275;18.72817991;48.2683655;0.4359;0.5641;0;0
1.093;69.7922371;54.5768275;18.72817991;48.2683655;0.9703;0.0297;0;0
1.087;69.7922371;54.5768275;18.72817991;48.2683655;0.5769;0.4231;1;1
0.918;69.7922371;54.5768275;18.72817991;48.2683655;0.6455;0.3545;1;1
0.759;69.7922371;54.5768275;18.72817991;48.2683655;0.4286;0.5714;0;0
0.654;43.62579134;22.82928571;48.49619611;9.022997465;0.2211;0.7789;0;0
0.587;43.62579134;22.82928571;48.49619611;9.022997465;0.3676;0.6324;0;0
0.55;43.62579134;22.82928571;48.49619611;9.022997465;0.5547;0.4453;0;0
0.542;43.62579134;22.82928571;48.49619611;9.022997465;0.4552;0.5448;0;0
0.542;43.62579134;22.82928571;48.49619611;9.022997465;0.4;0.6;0;0
0.581;43.62579134;22.82928571;48.49619611;9.022997465;0.6842;0.3158;1;1
0.782;43.62579134;22.82928571;48.49619611;9.022997465;0;1;0;0
1.121;43.62579134;22.82928571;48.49619611;9.022997465;0.9231;0.0769;0;0
1.103;43.62579134;22.82928571;48.49619611;9.022997465;0.7317;0.2683;1;1
1.176;43.62579134;22.82928571;48.49619611;9.022997465;0.5714;0.4286;0;0
1.277;43.62579134;22.82928571;48.49619611;9.022997465;0.0658;0.9342;0;0
1.318;43.62579134;22.82928571;48.49619611;9.022997465;0.6116;0.3884;0;0
1.325;43.62579134;22.82928571;48.49619611;9.022997465;0.728;0.272;1;0
1.298;43.62579134;22.82928571;48.49619611;9.022997465;0.3676;0.6324;0;0
1.305;43.62579134;22.82928571;48.49619611;9.022997465;0.5;0.5;0;0
1.285;43.62579134;22.82928571;48.49619611;9.022997465;0.3091;0.6909;0;0
1.2;43.62579134;22.82928571;48.49619611;9.022997465;0.7623;0.2377;1;1
1.177;43.62579134;22.82928571;48.49619611;9.022997465;0.56;0.44;0;0
1.185;43.62579134;22.82928571;48.49619611;9.022997465;0.65;0.35;1;0
1.136;43.62579134;22.82928571;48.49619611;9.022997465;0.614;0.386;0;0
1.093;43.62579134;22.82928571;48.49619611;9.022997465;0.4793;0.5207;0;0
1.087;43.62579134;22.82928571;48.49619611;9.022997465;0.4167;0.5833;0;0
0.918;43.62579134;22.82928571;48.49619611;9.022997465;0.4938;0.5062;0;0
0.759;43.62579134;22.82928571;48.49619611;9.022997465;0.0208;0.9792;0;0
0.654;22.82928571;100.4666344;9.022997465;30.18161687;0.7097;0.2903;1;0
0.587;22.82928571;100.4666344;9.022997465;30.18161687;0.975;0.025;0;0
0.55;22.82928571;100.4666344;9.022997465;30.18161687;0.6167;0.3833;1;0
0.542;22.82928571;100.4666344;9.022997465;30.18161687;0.902;0.098;0;0
0.542;22.82928571;100.4666344;9.022997465;30.18161687;0.4241;0.5759;1;1
0.581;22.82928571;100.4666344;9.022997465;30.18161687;0.8605;0.1395;0;0
0.782;22.82928571;100.4666344;9.022997465;30.18161687;0.4219;0.5781;1;0
1.121;22.82928571;100.4666344;9.022997465;30.18161687;0.1781;0.8219;0;0
1.103;22.82928571;100.4666344;9.022997465;30.18161687;0.4444;0.5556;0;0
1.176;22.82928571;100.4666344;9.022997465;30.18161687;0.4345;0.5655;0;0
1.277;22.82928571;100.4666344;9.022997465;30.18161687;0.7398;0.2602;1;0
1.318;22.82928571;100.4666344;9.022997465;30.18161687;0.1682;0.8318;0;0
1.325;22.82928571;100.4666344;9.022997465;30.18161687;0.6301;0.3699;1;0
1.298;22.82928571;100.4666344;9.022997465;30.18161687;0.5481;0.4519;1;0
1.305;22.82928571;100.4666344;9.022997465;30.18161687;0.5029;0.4971;0;0
1.285;22.82928571;100.4666344;9.022997465;30.18161687;0.25;0.75;0;0
1.2;22.82928571;100.4666344;9.022997465;30.18161687;0.3415;0.6585;0;0
1.177;22.82928571;100.4666344;9.022997465;30.18161687;0.411;0.589;0;0
1.185;22.82928571;100.4666344;9.022997465;30.18161687;0.9674;0.0326;0;0
1.136;22.82928571;100.4666344;9.022997465;30.18161687;0.411;0.589;0;0
1.093;22.82928571;100.4666344;9.022997465;30.18161687;0.6791;0.3209;1;0
1.087;22.82928571;100.4666344;9.022997465;30.18161687;0.4604;0.5396;0;0
0.918;22.82928571;100.4666344;9.022997465;30.18161687;0.424;0.576;0;0
0.759;22.82928571;100.4666344;9.022997465;30.18161687;0.7615;0.2385;1;0
0.654;81.4105776;75.2094663;45.41992644;25.39809713;0.4928;0.5072;1;1
0.587;81.4105776;75.2094663;45.41992644;25.39809713;0.6026;0.3974;1;1
0.55;81.4105776;75.2094663;45.41992644;25.39809713;0.3652;0.6348;1;1
0.542;81.4105776;75.2094663;45.41992644;25.39809713;0.2727;0.7273;0;0
0.542;81.4105776;75.2094663;45.41992644;25.39809713;0.4444;0.5556;1;1
0.581;81.4105776;75.2094663;45.41992644;25.39809713;0.3793;0.6207;1;1
0.782;81.4105776;75.2094663;45.41992644;25.39809713;0.7358;0.2642;1;1
1.121;81.4105776;75.2094663;45.41992644;25.39809713;0.5647;0.4353;1;1
1.103;81.4105776;75.2094663;45.41992644;25.39809713;0.5714;0.4286;1;1
1.176;81.4105776;75.2094663;45.41992644;25.39809713;0.6897;0.3103;1;1
1.277;81.4105776;75.2094663;45.41992644;25.39809713;0.2034;0.7966;0;0
1.318;81.4105776;75.2094663;45.41992644;25.39809713;0.0795;0.9205;0;0
1.325;81.4105776;75.2094663;45.41992644;25.39809713;0.5944;0.4056;1;1
1.298;81.4105776;75.2094663;45.41992644;25.39809713;0.6164;0.3836;1;1
1.305;81.4105776;75.2094663;45.41992644;25.39809713;0;1;0;0
1.285;81.4105776;75.2094663;45.41992644;25.39809713;0.5455;0.4545;1;0
1.2;81.4105776;75.2094663;45.41992644;25.39809713;0.22;0.78;0;0
1.177;81.4105776;75.2094663;45.41992644;25.39809713;0.5424;0.4576;1;1
1.185;81.4105776;75.2094663;45.41992644;25.39809713;0.1667;0.8333;0;0
1.136;81.4105776;75.2094663;45.41992644;25.39809713;0.7444;0.2556;1;1
1.093;81.4105776;75.2094663;45.41992644;25.39809713;0.8966;0.1034;0;0
1.087;81.4105776;75.2094663;45.41992644;25.39809713;0.4286;0.5714;0;0
0.918;81.4105776;75.2094663;45.41992644;25.39809713;0.3277;0.6723;0;0
0.759;81.4105776;75.2094663;45.41992644;25.39809713;0.8267;0.1733;1;1
0.654;82.02759933;43.62579134;33.93548594;48.49619611;0.6842;0.3158;1;1
0.587;82.02759933;43.62579134;33.93548594;48.49619611;0.8435;0.1565;1;1
0.55;82.02759933;43.62579134;33.93548594;48.49619611;0.6613;0.3387;1;1
0.542;82.02759933;43.62579134;33.93548594;48.49619611;0.8468;0.1532;1;1
0.542;82.02759933;43.62579134;33.93548594;48.49619611;0.8701;0.1299;1;1
0.581;82.02759933;43.62579134;33.93548594;48.49619611;0.8;0.2;1;1
0.782;82.02759933;43.62579134;33.93548594;48.49619611;0.4043;0.5957;0;0
1.121;82.02759933;43.62579134;33.93548594;48.49619611;0.7632;0.2368;1;1
1.103;82.02759933;43.62579134;33.93548594;48.49619611;0.5603;0.4397;0;0
1.176;82.02759933;43.62579134;33.93548594;48.49619611;0.9381;0.0619;0;0
1.277;82.02759933;43.62579134;33.93548594;48.49619611;0.7571;0.2429;1;1
1.318;82.02759933;43.62579134;33.93548594;48.49619611;0.027;0.973;0;0
1.325;82.02759933;43.62579134;33.93548594;48.49619611;0.0714;0.9286;0;0
1.298;82.02759933;43.62579134;33.93548594;48.49619611;0.1325;0.8675;0;0
1.305;82.02759933;43.62579134;33.93548594;48.49619611;0.5833;0.4167;0;0
1.285;82.02759933;43.62579134;33.93548594;48.49619611;0.6761;0.3239;1;1
1.2;82.02759933;43.62579134;33.93548594;48.49619611;0.6375;0.3625;1;1
1.177;82.02759933;43.62579134;33.93548594;48.49619611;0.8;0.2;1;1
1.185;82.02759933;43.62579134;33.93548594;48.49619611;0.6159;0.3841;1;1
1.136;82.02759933;43.62579134;33.93548594;48.49619611;0.6542;0.3458;1;1
1.093;82.02759933;43.62579134;33.93548594;48.49619611;0.6064;0.3936;1;1
1.087;82.02759933;43.62579134;33.93548594;48.49619611;0.9121;0.0879;0;0
0.918;82.02759933;43.62579134;33.93548594;48.49619611;0.336;0.664;0;0
0.759;82.02759933;43.62579134;33.93548594;48.49619611;0.5079;0.4921;0;0
0.654;65.08605661;93.45097973;38.31341299;17.41405351;0.9259;0.0741;1;1
0.587;65.08605661;93.45097973;38.31341299;17.41405351;0.6168;0.3832;1;1
0.55;65.08605661;93.45097973;38.31341299;17.41405351;0.8621;0.1379;1;1
0.542;65.08605661;93.45097973;38.31341299;17.41405351;0.6549;0.3451;1;1
0.542;65.08605661;93.45097973;38.31341299;17.41405351;0.84;0.16;1;1
0.581;65.08605661;93.45097973;38.31341299;17.41405351;0.1408;0.8592;0;0
0.782;65.08605661;93.45097973;38.31341299;17.41405351;0.2899;0.7101;0;0
1.121;65.08605661;93.45097973;38.31341299;17.41405351;0.5868;0.4132;1;1
1.103;65.08605661;93.45097973;38.31341299;17.41405351;0.7727;0.2273;1;1
1.176;65.08605661;93.45097973;38.31341299;17.41405351;0.2208;0.7792;0;0
1.277;65.08605661;93.45097973;38.31341299;17.41405351;0.1389;0.8611;0;0
1.318;65.08605661;93.45097973;38.31341299;17.41405351;0.4898;0.5102;0;0
1.325;65.08605661;93.45097973;38.31341299;17.41405351;0.8052;0.1948;1;0
1.298;65.08605661;93.45097973;38.31341299;17.41405351;0.375;0.625;0;0
1.305;65.08605661;93.45097973;38.31341299;17.41405351;0.2302;0.7698;0;0
1.285;65.08605661;93.45097973;38.31341299;17.41405351;0.5528;0.4472;1;0
1.2;65.08605661;93.45097973;38.31341299;17.41405351;0.9341;0.0659;0;0
1.177;65.08605661;93.45097973;38.31341299;17.41405351;0.6937;0.3063;1;1
1.185;65.08605661;93.45097973;38.31341299;17.41405351;0.4835;0.5165;0;0
1.136;65.08605661;93.45097973;38.31341299;17.41405351;0.5031;0.4969;1;0
1.093;65.08605661;93.45097973;38.31341299;17.41405351;0.5368;0.4632;1;1
1.087;65.08605661;93.45097973;38.31341299;17.41405351;0.7;0.3;1;1
0.918;65.08605661;93.45097973;38.31341299;17.41405351;0.6591;0.3409;1;1
0.759;65.08605661;93.45097973;38.31341299;17.41405351;0.4328;0.5672;1;1
0.654;41.33487788;82.74299282;15.58886613;16.15859594;0.8113;0.1887;1;1
0.587;41.33487788;82.74299282;15.58886613;16.15859594;0.5695;0.4305;1;1
0.55;41.33487788;82.74299282;15.58886613;16.15859594;0.8657;0.1343;1;1
0.542;41.33487788;82.74299282;15.58886613;16.15859594;0.4746;0.5254;1;1
0.542;41.33487788;82.74299282;15.58886613;16.15859594;0.5;0.5;1;1
0.581;41.33487788;82.74299282;15.58886613;16.15859594;0.0339;0.9661;0;0
0.782;41.33487788;82.74299282;15.58886613;16.15859594;0.5857;0.4143;1;1
1.121;41.33487788;82.74299282;15.58886613;16.15859594;0.7966;0.2034;1;0
1.103;41.33487788;82.74299282;15.58886613;16.15859594;0.5028;0.4972;1;0
1.176;41.33487788;82.74299282;15.58886613;16.15859594;0.7111;0.2889;1;0
1.277;41.33487788;82.74299282;15.58886613;16.15859594;0.6;0.4;1;0
1.318;41.33487788;82.74299282;15.58886613;16.15859594;0.1593;0.8407;0;0
1.325;41.33487788;82.74299282;15.58886613;16.15859594;0.506;0.494;0;0
1.298;41.33487788;82.74299282;15.58886613;16.15859594;0.4533;0.5467;0;0
1.305;41.33487788;82.74299282;15.58886613;16.15859594;0.6471;0.3529;1;0
1.285;41.33487788;82.74299282;15.58886613;16.15859594;0.5115;0.4885;0;0
1.2;41.33487788;82.74299282;15.58886613;16.15859594;0.4074;0.5926;0;0
1.177;41.33487788;82.74299282;15.58886613;16.15859594;0.4629;0.5371;0;0
1.185;41.33487788;82.74299282;15.58886613;16.15859594;0.4091;0.5909;0;0
1.136;41.33487788;82.74299282;15.58886613;16.15859594;0.98;0.02;0;0
1.093;41.33487788;82.74299282;15.58886613;16.15859594;0.6735;0.3265;1;0
1.087;41.33487788;82.74299282;15.58886613;16.15859594;0.7404;0.2596;1;0
0.918;41.33487788;82.74299282;15.58886613;16.15859594;0.7053;0.2947;1;1
0.759;41.33487788;82.74299282;15.58886613;16.15859594;0.2039;0.7961;0;0
0.654;33.16201133;69.7922371;16.5711149;18.72817991;0.3016;0.6984;0;0
0.587;33.16201133;69.7922371;16.5711149;18.72817991;0.6803;0.3197;1;1
0.55;33.16201133;69.7922371;16.5711149;18.72817991;0.56;0.44;1;1
0.542;33.16201133;69.7922371;16.5711149;18.72817991;0.2762;0.7238;0;0
0.542;33.16201133;69.7922371;16.5711149;18.72817991;0.4649;0.5351;1;1
0.581;33.16201133;69.7922371;16.5711149;18.72817991;0.0794;0.9206;0;0
0.782;33.16201133;69.7922371;16.5711149;18.72817991;0.0515;0.9485;0;0
1.121;33.16201133;69.7922371;16.5711149;18.72817991;0.284;0.716;0;0
1.103;33.16201133;69.7922371;16.5711149;18.72817991;0.4611;0.5389;0;0
1.176;33.16201133;69.7922371;16.5711149;18.72817991;0.9796;0.0204;0;0
1.277;33.16201133;69.7922371;16.5711149;18.72817991;0.1359;0.8641;0;0
1.318;33.16201133;69.7922371;16.5711149;18.72817991;0.2785;0.7215;0;0
1.325;33.16201133;69.7922371;16.5711149;18.72817991;0.2462;0.7538;0;0
1.298;33.16201133;69.7922371;16.5711149;18.72817991;0.25;0.75;0;0
1.305;33.16201133;69.7922371;16.5711149;18.72817991;0.2462;0.7538;0;0
1.285;33.16201133;69.7922371;16.5711149;18.72817991;0.5;0.5;0;0
1.2;33.16201133;69.7922371;16.5711149;18.72817991;0.2885;0.7115;0;0
1.177;33.16201133;69.7922371;16.5711149;18.72817991;0.6364;0.3636;1;0
1.185;33.16201133;69.7922371;16.5711149;18.72817991;0.3071;0.6929;0;0
1.136;33.16201133;69.7922371;16.5711149;18.72817991;0.496;0.504;0;0
1.093;33.16201133;69.7922371;16.5711149;18.72817991;0.3819;0.6181;0;0
1.087;33.16201133;69.7922371;16.5711149;18.72817991;0.1739;0.8261;0;0
0.918;33.16201133;69.7922371;16.5711149;18.72817991;0.6154;0.3846;1;1
0.759;33.16201133;69.7922371;16.5711149;18.72817991;0.7597;0.2403;1;1
0.654;100.4666344;49.3713036;30.18161687;50.45435087;0.4615;0.5385;0;0
0.587;100.4666344;49.3713036;30.18161687;50.45435087;0.371;0.629;0;0
0.55;100.4666344;49.3713036;30.18161687;50.45435087;0.5417;0.4583;1;1
0.542;100.4666344;49.3713036;30.18161687;50.45435087;0.5868;0.4132;1;1
0.542;100.4666344;49.3713036;30.18161687;50.45435087;0.9474;0.0526;1;1
0.581;100.4666344;49.3713036;30.18161687;50.45435087;0.3769;0.6231;0;0
0.782;100.4666344;49.3713036;30.18161687;50.45435087;0.08;0.92;0;0
1.121;100.4666344;49.3713036;30.18161687;50.45435087;0.3474;0.6526;0;0
1.103;100.4666344;49.3713036;30.18161687;50.45435087;0.7091;0.2909;1;1
1.176;100.4666344;49.3713036;30.18161687;50.45435087;0.5143;0.4857;0;0
1.277;100.4666344;49.3713036;30.18161687;50.45435087;0.1915;0.8085;0;0
1.318;100.4666344;49.3713036;30.18161687;50.45435087;0.119;0.881;0;0
1.325;100.4666344;49.3713036;30.18161687;50.45435087;0.3364;0.6636;0;0
1.298;100.4666344;49.3713036;30.18161687;50.45435087;0.4528;0.5472;0;0
1.305;100.4666344;49.3713036;30.18161687;50.45435087;0.4533;0.5467;0;0
1.285;100.4666344;49.3713036;30.18161687;50.45435087;0.508;0.492;0;0
1.2;100.4666344;49.3713036;30.18161687;50.45435087;0.9359;0.0641;0;0
1.177;100.4666344;49.3713036;30.18161687;50.45435087;0.3162;0.6838;0;0
1.185;100.4666344;49.3713036;30.18161687;50.45435087;0.4417;0.5583;0;0
1.136;100.4666344;49.3713036;30.18161687;50.45435087;0.8291;0.1709;1;1
1.093;100.4666344;49.3713036;30.18161687;50.45435087;0.9333;0.0667;0;0
1.087;100.4666344;49.3713036;30.18161687;50.45435087;0.3071;0.6929;0;0
0.918;100.4666344;49.3713036;30.18161687;50.45435087;0.1215;0.8785;0;0
0.759;100.4666344;49.3713036;30.18161687;50.45435087;0.1522;0.8478;0;0
0.654;65.08605661;100.4666344;38.31341299;30.18161687;0.1829;0.8171;0;0
0.587;65.08605661;100.4666344;38.31341299;30.18161687;0.1;0.9;0;0
0.55;65.08605661;100.4666344;38.31341299;30.18161687;0.3521;0.6479;1;1
0.542;65.08605661;100.4666344;38.31341299;30.18161687;0.5814;0.4186;1;1
0.542;65.08605661;100.4666344;38.31341299;30.18161687;0.1798;0.8202;0;0
0.581;65.08605661;100.4666344;38.31341299;30.18161687;0.3684;0.6316;1;1
0.782;65.08605661;100.4666344;38.31341299;30.18161687;0.6275;0.3725;1;1
1.121;65.08605661;100.4666344;38.31341299;30.18161687;0.7077;0.2923;1;1
1.103;65.08605661;100.4666344;38.31341299;30.18161687;0.5528;0.4472;1;1
1.176;65.08605661;100.4666344;38.31341299;30.18161687;0.7447;0.2553;1;1
1.277;65.08605661;100.4666344;38.31341299;30.18161687;0.9737;0.0263;0;0
1.318;65.08605661;100.4666344;38.31341299;30.18161687;0.125;0.875;0;0
1.325;65.08605661;100.4666344;38.31341299;30.18161687;0.3841;0.6159;0;0
1.298;65.08605661;100.4666344;38.31341299;30.18161687;0.3107;0.6893;0;0
1.305;65.08605661;100.4666344;38.31341299;30.18161687;0.5333;0.4667;1;1
1.285;65.08605661;100.4666344;38.31341299;30.18161687;0.6174;0.3826;1;1
1.2;65.08605661;100.4666344;38.31341299;30.18161687;0.5464;0.4536;1;1
1.177;65.08605661;100.4666344;38.31341299;30.18161687;0.22;0.78;0;0
1.185;65.08605661;100.4666344;38.31341299;30.18161687;0.6861;0.3139;1;1
1.136;65.08605661;100.4666344;38.31341299;30.18161687;0.7941;0.2059;1;1
1.093;65.08605661;100.4666344;38.31341299;30.18161687;0.5338;0.4662;1;1
1.087;65.08605661;100.4666344;38.31341299;30.18161687;0.2824;0.7176;0;0
0.918;65.08605661;100.4666344;38.31341299;30.18161687;0.6559;0.3441;1;1
0.759;65.08605661;100.4666344;38.31341299;30.18161687;0.7596;0.2404;1;1
0.654;33.35821963;26.57670026;11.31577917;16.61402384;0.8929;0.1071;0;0
0.587;33.35821963;26.57670026;11.31577917;16.61402384;0.8406;0.1594;1;0
0.55;33.35821963;26.57670026;11.31577917;16.61402384;0.5983;0.4017;1;1
0.542;33.35821963;26.57670026;11.31577917;16.61402384;0.6861;0.3139;1;1
0.542;33.35821963;26.57670026;11.31577917;16.61402384;0.5417;0.4583;0;0
0.581;33.35821963;26.57670026;11.31577917;16.61402384;0.5299;0.4701;0;0
0.782;33.35821963;26.57670026;11.31577917;16.61402384;0.0935;0.9065;0;0
1.121;33.35821963;26.57670026;11.31577917;16.61402384;0.3806;0.6194;0;0
1.103;33.35821963;26.57670026;11.31577917;16.61402384;0.8455;0.1545;0;0
1.176;33.35821963;26.57670026;11.31577917;16.61402384;1;0;0;0
1.277;33.35821963;26.57670026;11.31577917;16.61402384;0.1408;0.8592;0;0
1.318;33.35821963;26.57670026;11.31577917;16.61402384;0.5085;0.4915;0;0
1.325;33.35821963;26.57670026;11.31577917;16.61402384;0.4098;0.5902;0;0
1.298;33.35821963;26.57670026;11.31577917;16.61402384;0.4375;0.5625;0;0
1.305;33.35821963;26.57670026;11.31577917;16.61402384;0.6111;0.3889;0;0
1.285;33.35821963;26.57670026;11.31577917;16.61402384;0.4329;0.5671;0;0
1.2;33.35821963;26.57670026;11.31577917;16.61402384;0.0893;0.9107;0;0
1.177;33.35821963;26.57670026;11.31577917;16.61402384;0.4967;0.5033;0;0
1.185;33.35821963;26.57670026;11.31577917;16.61402384;0.2059;0.7941;0;0
1.136;33.35821963;26.57670026;11.31577917;16.61402384;0.033;0.967;0;0
1.093;33.35821963;26.57670026;11.31577917;16.61402384;0.7273;0.2727;1;0
1.087;33.35821963;26.57670026;11.31577917;16.61402384;1;0;0;0
